"";"Region";"site";"Agarum";"Alaria";"S.latissima";"Desmarestia";"Fucus";"Saccorhiza";"L.solidung";"L.digitata";"Green";"Red.algae.fleshy";"Filamentous";"Coralline";"BedrockP";"BoulderP";"CobbleP";"PebblesP";"SandP"
"1";"Hudson Strait";"Bear Island";0;0;17,5;0;25,625;0;0;0;0;0;6,25;3,25;1,875;0;75;0;23,125
"2";"North Baffin Island";"Black Point";32,1428571428571;0;0;0;0;0;0;0;0;0;0;34,5357142857143;0;41,4285714285714;39,2857142857143;0;19,2857142857143
"3";"Hudson Bay";"Churchill T3";0;0;1,23076923076923;0;0;0;0;0,923076923076923;0;0;35,6923076923077;4,43076923076923;40,129850825503;20,5190058479532;20,4935897435897;11,9508637815274;6,90668980142664
"4";"Hudson Bay";"Churchill T4";0;0;0,769230769230769;0;0,384615384615385;0;0;0;0;3,92307692307692;6,07692307692308;0;54,9990943980714;21,3251454427925;12,430869783811;6,54403567447046;4,7008547008547
"5";"Hudson Strait";"Deception Bay T1";0;0;0;0;27,3;0;0;0;0;0;0;0;4,9;0;0;0;95,1
"6";"Hudson Strait";"Deception Bay T2";0;0;46,85;1,98;0;0;0;0;0;0;5,27;0;0;0;0;1,60927835051546;98,3907216494845
"7";"Hudson Strait";"Deception Bay T3";0;0;40,08;0;0;0;0,67;0;0;0;0;0;0;0;0;0;100
"8";"Hudson Strait";"Deception Bay T4";0;35;40,9090909090909;0;0;0;5,90909090909091;0;0;0,454545454545455;1,81818181818182;0;0;0;19,0909090909091;28,6363636363636;52,2727272727273
"9";"Hudson Strait";"Deception Bay T5";33,21;10,71;18,6335714285714;0;0;0;0;0;0;0;0,4;0;0;0;3;55,94;41,06
"10";"Hudson Strait";"Deception Bay T6";3,77;0;48,53;4,67;0,5;0;9;0;0;0;5,3;0;0;0;0;4,1374269005848;95,8625730994152
"11";"Davis Strait";"Duck Island";39,5;21,5;9;0;0;0;0;0;0;3,5;5;0;4,67171717171717;0;95,3282828282828;0;0
"12";"Baffin Bay";"Durban Harbour";48,3;0;0;0;0;0;0;0;0;0;0;8,529443825096;1,5;98,5;0;0;0
"13";"Foxe Basin";"East Bay";0;0;2,5;4,375;0;0;2,5;0;0;0;0;0;0;0;0;1,25;98,75
"14";"Nunatsiavut";"Evan's Bight";69,6;0;0,4;0;0;0;12;1,6;0;7,4;1,6;0;81;10;0;2;7
"15";"Nunatsiavut";"Hogg Island";0;0;73,8888888888889;0;0;0;0;0;0;0;2,22222222222222;0;0;0;2,88888888888889;0;97,1111111111111
"16";"North Baffin Island";"Iceberg Point";22,5;0;0;0;0;0;0;0;0;0;0;41,84375;6,25;0;72,5;0;8,75
"17";"Davis Strait";"Iqualuit T1";0;0;0;0;0,5;0;0;0;0;0;1,5;0;0;0;0;0;100
"18";"Davis Strait";"Iqualuit T2";21,9230769230769;1,15384615384615;29,2307692307692;0;0,384615384615385;0;12,3076923076923;0;0;0;3,84615384615385;0;0;0;0;0;84,6153846153846
"19";"Davis Strait";"Iqualuit T4";0;6,41666666666667;22,5;0;0;0;2,08333333333333;0;0;0;0;0;0;0;0;8,88888888888889;91,1111111111111
"20";"Labrador Sea";"Makkovik";42,875;0;0;0;0;0;0;0;0;0;1;82,5;100;0;0;0;0
"21";"Labrador Sea";"Mussel Point";0;0;0;0;0;0;0;0;0;0;0;100;0;5,55555555555556;63,5555555555556;0;30,8888888888889
"22";"North Baffin Island";"Narwhal Cove";64,2857142857143;0;0;0;0;0;0;0;0;0;0;35,7142857142857;100;0;0;0;0
"23";"Davis Strait";"Pangnirtung 1";0;7,5;85;0;0;0;0;0;0;0;0;0;0;10;90;0;0
"24";"Davis Strait";"Pangnirtung 2";0;0;100;0;0;0;0;0;0;0;0;0;0;10;10;0;80
"25";"Baffin Bay";"Qik";0;0;3,2;0;0,5;0;0,8;0;0;0;75,5;0;0;0;0;0;100
"26";"Baffin Bay";"Rocks near Durban";32,5;2;30,4;0;0;0;7,6;0;0;0;0,526315789473684;8,289785729145;0;56;44;0;0
"27";"Baffin Bay";"S. of Qik";9,5;0;32;2,5;7;0;8;0;0;0;13,5;2,02631578947368;23;29,5;0;0;47,5
"28";"North Baffin Island";"Sheaties Cabin";36,875;0;0;0;0;0;0;0;0;0;0;31,5625;18,125;9,375;43,75;0;28,75
"29";"Roes Welcome Sound";"Station 10";0;0;13,75;15;0,125;3,25;0;0;0;0;28,75;0,625;0;49,375;33,125;2,5;15
"30";"Roes Welcome Sound";"Station 12";0;20;10;1,25;0;14,375;0;0;0;0;36,25;0;93,75;6,25;0;0;0
"31";"Roes Welcome Sound";"Station 13";1,25;4,375;48,125;0;1,875;0;6,875;0;0;0;11,25;2,5;7,5;20;1,875;7,5;63,125
"32";"Foxe Basin";"Station 14";0;22,5;5;0;0;0;40;0;0;3,75;7,5;3,75;70;7,5;3,75;2,5;16,25
"33";"Foxe Basin";"Station 17";17,1428571428571;27,8571428571429;6,42857142857143;0;0;0;18,5714285714286;0;0;2,14285714285714;2,14285714285714;7,14285714285714;29,4805194805195;31,7532467532468;15,3246753246753;4,15584415584416;19,2857142857143
"34";"Hudson Strait";"Station 20";31,25;3,125;2,5;0;0;0;34,375;0;0;6,25;4,375;13,75;33,444976076555;35,4904306220096;16,6806220095694;0;14,383971291866
"35";"Hudson Strait";"Station 21";15;16,25;13,75;0;0;0;18,75;3,75;0,625;8,125;6,25;10,625;30;15;25;28,75;1,25
"36";"Hudson Strait";"Station 22";1,25;5;6,875;0;0;1,25;0;5;0,625;5;9,375;0;16,25;0;0;0;71,25
"37";"Hudson Strait";"Station 25";3,125;1,875;23,125;3,75;0;0;5;5;0;8,75;6,875;3,75;0;21,25;29,375;49,375;0
"38";"Roes Welcome Sound";"Station 6";1,25;1,875;26,875;0;0,625;0;0;0;0;0,125;23,75;0;0;6,25;78,125;0;15,625
"39";"Roes Welcome Sound";"Station 8";0;6,875;42,5;18,75;0;0;0;0;0;0;0;9,375;2,5;23,75;67,5;0;6,25
"40";"Foxe Basin";"Steensby Inlet T1";0;0;20,1818181818182;0;17,0909090909091;0;8;0;0;3,18181818181818;32,3636363636364;0;0;0;9,54545454545454;13,6363636363636;76,8181818181818
"41";"Foxe Basin";"Steensby Inlet T2";0;0;0,625;0;3;0;20,625;0;0;3,125;24,875;0;0;1,25;25;0;73,75
"42";"Foxe Basin";"Steensby Inlet T5";0;2,5;0;0;0;0;0;0;0;0;97,5;0;0;0;0;18;82
"43";"Foxe Basin";"Steensby Inlet T6";0;0;0;0;0;0;3,33333333333333;0;0;0;83,3333333333333;1;0;0;3,33333333333333;0;96,6666666666667
"44";"North Baffin Island";"Trevor's Cove";35,625;0;0;0;0;0;0,125;0;0;0;0;36,6375;39,6880265867815;23,1632653061224;19,8910550458716;0;17,2576530612245
"45";"Nunatsiavut";"Turnagain";0;0;0;0;0;0;0;0;0;0;0;100;2,5;62,5;28,75;0;6,25
