Sp,lon,lat,source
Acla,-174.625,52.125,OBIS
Acla,-151.7083333,59.45833333,OBIS
Acla,-152.7916667,58.375,OBIS
Acla,-168.7916667,53.04166667,OBIS
Acla,-151.4583333,59.54166667,OBIS
Acla,-152.7916667,58.45833333,OBIS
Acla,-178.625,51.54166667,OBIS
Acla,-166.4583333,53.95833333,OBIS
Acla,-93.875,58.79166667,OBIS
Acla,-147.125,60.375,OBIS
Acla,-167.625,53.375,OBIS
Acla,-147.375,60.29166667,OBIS
Acla,-178.0416667,51.70833333,OBIS
Acla,-151.875,59.375,OBIS
Acla,-154.125,56.95833333,OBIS
Acla,-152.375,57.79166667,OBIS
Acla,-147.7083333,60.45833333,OBIS
Acla,-146.7083333,60.95833333,OBIS
Acla,-153.875,57.54166667,OBIS
Acla,-153.375,57.125,OBIS
Acla,-177.7916667,51.79166667,OBIS
Acla,-146.7083333,60.375,OBIS
Acla,-147.375,60.625,OBIS
Acla,-152.625,58.54166667,OBIS
Acla,-152.875,57.29166667,OBIS
Acla,-168.875,53.04166667,OBIS
Acla,-168.9583333,52.95833333,OBIS
Acla,-166.2083333,64.54166667,GBIF
Acla,-64.04166667,67.54166667,GBIF
Acla,-94.20833333,58.79166667,GBIF
Acla,-62.20833333,67.04166667,GBIF
Acla,-59.20833333,55.125,GBIF
Acla,-64.375,60.20833333,GBIF
Acla,-146.2083333,60.70833333,GBIF
Acla,-166.875,53.625,GBIF
Acla,-166.5416667,53.875,GBIF
Acla,-53.54166667,69.125,GBIF
Acla,-68.54166667,63.70833333,GBIF
Acla,-68.125,58.54166667,GBIF
Acla,-52.875,68.70833333,GBIF
Acla,-176.625,51.70833333,GBIF
Acla,-163.375,54.875,GBIF
Acla,-172.7916667,60.20833333,GBIF
Acla,-53.375,69.04166667,GBIF
Acla,-62.625,58.20833333,GBIF
Acla,163.4583333,59.04166667,GBIF
Acla,-170.375,57.04166667,GBIF
Acla,-162.625,55.29166667,GBIF
Acla,-151.2916667,59.54166667,GBIF
Acla,-162.625,54.375,GBIF
Acla,-164.9583333,54.125,GBIF
Acla,-173.5416667,52.125,GBIF
Acla,-37.625,65.625,GBIF
Acla,-52.95833333,65.45833333,GBIF
Acla,-50.375,62.70833333,GBIF
Acla,-31.70833333,68.125,GBIF
Acla,-53.79166667,67.70833333,GBIF
Acla,-53.875,67.29166667,GBIF
Acla,-36.95833333,65.79166667,GBIF
Acla,-37.20833333,65.54166667,GBIF
Acla,-48.45833333,61.20833333,GBIF
Acla,-26.20833333,70.45833333,GBIF
Acla,-53.54166667,64.29166667,GBIF
Acla,-53.70833333,66.95833333,GBIF
Acla,-51.70833333,64.20833333,GBIF
Acla,-46.04166667,60.70833333,GBIF
Acla,-45.20833333,60.125,GBIF
Acla,-49.70833333,62.04166667,GBIF
Acla,-53.54166667,65.29166667,GBIF
Acla,-48.125,61.04166667,GBIF
Acla,-48.20833333,61.20833333,GBIF
Acla,-48.70833333,61.29166667,GBIF
Acla,-52.04166667,64.04166667,GBIF
Acla,-53.04166667,65.79166667,GBIF
Acla,-50.20833333,64.45833333,GBIF
Acla,-51.04166667,64.20833333,GBIF
Acla,-44.45833333,59.95833333,GBIF
Acla,-43.54166667,59.875,GBIF
Acla,-44.20833333,60.20833333,GBIF
Acla,-44.29166667,60.125,GBIF
Acla,-146.9583333,60.54166667,Museum
Acla,-72.29166667,63.95833333,Museum
Acla,-85.125,73.04166667,Museum
Acla,-69.79166667,62.79166667,Museum
Acla,-71.95833333,61.625,Museum
Acla,-77.875,62.45833333,Museum
Acla,-94.95833333,74.04166667,Museum
Acla,-86.20833333,66.54166667,Museum
Acla,-83.29166667,64.125,Museum
Acla,-94.04166667,61.125,Museum
Acla,-90.70833333,63.29166667,Museum
Acla,-59.125,55.20833333,Museum
Acla,-92.54166667,75.29166667,Museum
Acla,-84.20833333,75.875,Museum
Acla,-91.54166667,70.125,Museum
Acla,-92.70833333,69.70833333,Museum
Acla,-93.79166667,72.70833333,Museum
Acla,-94.375,72.04166667,Museum
Acla,-93.70833333,76.20833333,Museum
Acla,-89.95833333,74.54166667,Museum
Acla,-85.45833333,75.625,Museum
Acla,-75.95833333,79.29166667,Museum
Acla,-74.625,78.875,Museum
Acla,-93.79166667,74.125,Museum
Acla,-51.95833333,64.125,Shoenrock et al
Acla,-52.04166667,64.20833333,Shoenrock et al
Acla,-50.79166667,64.70833333,Shoenrock et al
Acla,-50.45833333,64.625,Shoenrock et al
Acla,-50.45833333,64.125,Shoenrock et al
Acla,-51.45833333,64.04166667,Shoenrock et al
Acla,-51.625,64.125,Shoenrock et al
Acla,15.54166667,75.95833333,Ronowicz et al 2020
Acla,15.79166667,76.70833333,Ronowicz et al 2020
Acla,-83.20833333,64.04166667,SIMEP
Acla,-77.95833333,72.70833333,PICKeR
Acla,-63.54166667,59.29166667,Arctic Amazing Race
Acla,-63.70833333,59.45833333,Arctic Amazing Race
Acla,-79.875,72.45833333,PICKeR
Acla,-77.45833333,72.79166667,PICKeR
Acla,-67.95833333,66.29166667,Pangnirtung NFA
Acla,-78.875,72.375,PICKeR
Acla,-86.20833333,66.29166667,SIMEP
Acla,-82.95833333,64.875,SIMEP
Acla,-80.20833333,63.79166667,SIMEP
Acla,-80.875,63.54166667,SIMEP
Acla,-81.95833333,62.95833333,SIMEP
Acla,-82.375,63.625,SIMEP
Acla,-87.29166667,63.70833333,SIMEP
Acla,-86.375,64.29166667,SIMEP
Acla,-78.375,70.20833333,CAISN DFO
Acla,-78.54166667,70.29166667,CAISN DFO
Acla,-78.375,72.625,PICKeR
Acla,-76.625,72.625,PICKeR
Acla,-55.70833333,52.375,Filbee-Dexter et al
Acla,-55.625,53.20833333,Filbee-Dexter et al
Acla,-69.70833333,60.04166667,Filbee-Dexter et al
Acla,-69.20833333,77.375,Filbee-Dexter et al
Acla,-51.625,70.70833333,Filbee-Dexter et al
Acla,-50.375,69.79166667,Filbee-Dexter et al
Acla,33.375,69.125,Filbee-Dexter et al
Acla,-178.375,51.54166667,Filbee-Dexter et al
Acla,-177.125,51.625,Filbee-Dexter et al
Acla,-175.2083333,51.875,Filbee-Dexter et al
Acla,-170.875,52.375,Filbee-Dexter et al
Acla,-169.375,52.79166667,Filbee-Dexter et al
Acla,-167.9583333,53.29166667,Filbee-Dexter et al
Acla,-83.71313333,75.8267,Vaga20-10
Acla,-84.23165,75.7664,Vaga20-11a
Acla,-84.63921667,75.705,Vaga20-12
