Sp,lon,lat,source,
Acla,-174.625,52.125,OBIS,
Acla,-151.7083333,59.45833333,OBIS,
Acla,141.4583333,41.45833333,OBIS,
Acla,-152.7916667,58.375,OBIS,
Acla,-168.7916667,53.04166667,OBIS,
Acla,-151.7083333,59.45833333,OBIS,
Acla,-151.4583333,59.54166667,OBIS,
Acla,-152.7916667,58.45833333,OBIS,
Acla,143.0416667,42.04166667,OBIS,
Acla,-151.7083333,59.45833333,OBIS,
Acla,-178.625,51.54166667,OBIS,
Acla,-151.5416667,59.54166667,OBIS,
Acla,140.9583333,41.95833333,OBIS,
Acla,144.2916667,44.04166667,OBIS,
Acla,-166.4583333,53.95833333,OBIS,
Acla,-93.875,58.79166667,OBIS,
Acla,-147.125,60.375,OBIS,
Acla,-174.625,52.125,OBIS,
Acla,-167.625,53.375,OBIS,
Acla,-151.4583333,59.54166667,OBIS,
Acla,145.7916667,43.375,OBIS,
Acla,-151.7083333,59.45833333,OBIS,
Acla,-151.7083333,59.45833333,OBIS,
Acla,-151.5416667,59.54166667,OBIS,
Acla,-174.625,52.125,OBIS,
Acla,140.9583333,42.29166667,OBIS,
Acla,-147.375,60.29166667,OBIS,
Acla,140.9583333,42.29166667,OBIS,
Acla,-178.0416667,51.70833333,OBIS,
Acla,-132.875,53.625,OBIS,
Acla,-151.7083333,59.45833333,OBIS,
Acla,-151.5416667,59.54166667,OBIS,
Acla,-152.875,58.375,OBIS,
Acla,-168.7916667,53.04166667,OBIS,
Acla,-151.875,59.375,OBIS,
Acla,-147.125,60.375,OBIS,
Acla,-151.7083333,59.45833333,OBIS,
Acla,-151.7083333,59.45833333,OBIS,
Acla,-151.875,59.375,OBIS,
Acla,-147.125,60.375,OBIS,
Acla,-151.7083333,59.45833333,OBIS,
Acla,-154.125,56.95833333,OBIS,
Acla,-152.375,57.79166667,OBIS,
Acla,-151.7083333,59.45833333,OBIS,
Acla,-151.875,59.375,OBIS,
Acla,-152.375,57.79166667,OBIS,
Acla,-178.625,51.54166667,OBIS,
Acla,140.9583333,42.29166667,OBIS,
Acla,-151.5416667,59.54166667,OBIS,
Acla,-151.4583333,59.54166667,OBIS,
Acla,-147.125,60.375,OBIS,
Acla,-147.7083333,60.45833333,OBIS,
Acla,-178.0416667,51.70833333,OBIS,
Acla,-167.625,53.375,OBIS,
Acla,-151.4583333,59.54166667,OBIS,
Acla,-147.375,60.29166667,OBIS,
Acla,-152.7916667,58.45833333,OBIS,
Acla,142.9583333,42.125,OBIS,
Acla,-151.4583333,59.54166667,OBIS,
Acla,-146.7083333,60.95833333,OBIS,
Acla,-151.5416667,59.54166667,OBIS,
Acla,-151.875,59.375,OBIS,
Acla,-151.4583333,59.54166667,OBIS,
Acla,-151.875,59.375,OBIS,
Acla,-154.125,56.95833333,OBIS,
Acla,-151.5416667,59.54166667,OBIS,
Acla,-67.125,44.875,OBIS,
Acla,-151.7083333,59.45833333,OBIS,
Acla,143.2083333,41.95833333,OBIS,
Acla,-152.875,58.375,OBIS,
Acla,-152.375,57.79166667,OBIS,
Acla,-178.0416667,51.79166667,OBIS,
Acla,-151.4583333,59.54166667,OBIS,
Acla,-153.875,57.54166667,OBIS,
Acla,-147.375,60.29166667,OBIS,
Acla,-151.4583333,59.54166667,OBIS,
Acla,-153.375,57.125,OBIS,
Acla,-147.375,60.29166667,OBIS,
Acla,-151.875,59.375,OBIS,
Acla,-154.125,56.95833333,OBIS,
Acla,-151.875,59.375,OBIS,
Acla,-177.7916667,51.79166667,OBIS,
Acla,-151.5416667,59.54166667,OBIS,
Acla,-151.875,59.375,OBIS,
Acla,-151.7083333,59.45833333,OBIS,
Acla,-153.375,57.125,OBIS,
Acla,140.9583333,42.29166667,OBIS,
Acla,-153.375,57.125,OBIS,
Acla,-147.375,60.29166667,OBIS,
Acla,-147.125,60.375,OBIS,
Acla,-151.7083333,59.45833333,OBIS,
Acla,140.9583333,42.29166667,OBIS,
Acla,-154.125,56.95833333,OBIS,
Acla,140.9583333,45.45833333,OBIS,
Acla,-151.875,59.375,OBIS,
Acla,-151.7083333,59.45833333,OBIS,
Acla,-151.5416667,59.54166667,OBIS,
Acla,-151.5416667,59.54166667,OBIS,
Acla,-154.125,56.95833333,OBIS,
Acla,-177.7916667,51.79166667,OBIS,
Acla,-153.375,57.125,OBIS,
Acla,-132.875,53.625,OBIS,
Acla,141.0416667,41.875,OBIS,
Acla,-147.375,60.29166667,OBIS,
Acla,-151.4583333,59.54166667,OBIS,
Acla,-152.375,57.79166667,OBIS,
Acla,-151.4583333,59.54166667,OBIS,
Acla,-151.5416667,59.54166667,OBIS,
Acla,141.4583333,41.29166667,OBIS,
Acla,-151.5416667,59.54166667,OBIS,
Acla,-167.625,53.375,OBIS,
Acla,145.2916667,44.29166667,OBIS,
Acla,-153.375,57.125,OBIS,
Acla,141.9583333,45.54166667,OBIS,
Acla,-67.125,44.875,OBIS,
Acla,-62.04166667,47.20833333,OBIS,
Acla,-151.5416667,59.54166667,OBIS,
Acla,-151.7083333,59.45833333,OBIS,
Acla,-151.7083333,59.45833333,OBIS,
Acla,-168.7916667,53.04166667,OBIS,
Acla,-151.7083333,59.45833333,OBIS,
Acla,141.125,45.20833333,OBIS,
Acla,-151.7083333,59.45833333,OBIS,
Acla,-151.4583333,59.54166667,OBIS,
Acla,-151.4583333,59.54166667,OBIS,
Acla,-151.4583333,59.54166667,OBIS,
Acla,-178.625,51.54166667,OBIS,
Acla,140.9583333,42.29166667,OBIS,
Acla,-168.7916667,53.04166667,OBIS,
Acla,-67.125,44.875,OBIS,
Acla,-151.4583333,59.54166667,OBIS,
Acla,145.2083333,44.04166667,OBIS,
Acla,-147.7083333,60.45833333,OBIS,
Acla,-151.4583333,59.54166667,OBIS,
Acla,145.375,44.29166667,OBIS,
Acla,145.2916667,44.29166667,OBIS,
Acla,-153.875,57.54166667,OBIS,
Acla,-151.5416667,59.54166667,OBIS,
Acla,-147.7083333,60.45833333,OBIS,
Acla,-151.4583333,59.54166667,OBIS,
Acla,-147.125,60.375,OBIS,
Acla,-152.375,57.79166667,OBIS,
Acla,-151.5416667,59.54166667,OBIS,
Acla,-152.375,57.79166667,OBIS,
Acla,-151.4583333,59.54166667,OBIS,
Acla,-151.7083333,59.45833333,OBIS,
Acla,-147.375,60.29166667,OBIS,
Acla,-151.5416667,59.54166667,OBIS,
Acla,141.125,41.45833333,OBIS,
Acla,-153.875,57.54166667,OBIS,
