Sp,lon,lat,Source,Field5
Ldig,-17.625,65.95833333,OBIS, 
Ldig,15.54166667,76.79166667,OBIS, 
Ldig,-17.20833333,66.20833333,OBIS, 
Ldig,-94.29166667,58.79166667,OBIS, 
Ldig,-14.375,64.70833333,OBIS, 
Ldig,-21.95833333,64.45833333,OBIS, 
Ldig,-14.125,64.70833333,OBIS, 
Ldig,-13.70833333,65.20833333,OBIS, 
Ldig,-16.70833333,66.29166667,OBIS, 
Ldig,-13.54166667,65.29166667,OBIS, 
Ldig,23.70833333,70.625,GBIF, 
Ldig,22.04166667,70.70833333,GBIF, 
Ldig,-94.04166667,58.79166667,GBIF, 
Ldig,-7.125,62.29166667,GBIF, 
Ldig,-14.45833333,64.45833333,GBIF, 
Ldig,-13.79166667,64.79166667,GBIF, 
Ldig,-13.95833333,65.04166667,GBIF, 
Ldig,-14.875,65.70833333,GBIF, 
Ldig,-14.70833333,66.04166667,GBIF, 
Ldig,-13.79166667,65.54166667,GBIF, 
Ldig,-13.70833333,64.95833333,GBIF, 
Ldig,-20.70833333,65.70833333,GBIF, 
Ldig,-20.29166667,65.70833333,GBIF, 
Ldig,-19.70833333,65.875,GBIF, 
Ldig,-15.54166667,66.20833333,GBIF, 
Ldig,-14.95833333,66.375,GBIF, 
Ldig,-17.875,66.125,GBIF, 
Ldig,-23.875,64.875,GBIF, 
Ldig,-23.20833333,64.95833333,GBIF, 
Ldig,-24.54166667,65.54166667,GBIF, 
Ldig,-22.375,64.625,GBIF, 
Ldig,-22.29166667,64.04166667,GBIF, 
Ldig,-6.791666667,62.04166667,GBIF, 
Ldig,16.70833333,68.45833333,GBIF, 
Ldig,-6.791666667,61.54166667,GBIF, 
Ldig,11.20833333,79.875,GBIF, 
Ldig,15.95833333,80.04166667,GBIF, 
Ldig,-21.95833333,64.125,GBIF, 
Ldig,-8.541666667,71.04166667,GBIF, 
Ldig,-6.791666667,61.70833333,GBIF, 
Ldig,-18.29166667,65.875,GBIF, 
Ldig,-21.95833333,63.95833333,GBIF, 
Ldig,-22.95833333,66.04166667,GBIF, 
Ldig,-16.95833333,66.125,GBIF, 
Ldig,-14.95833333,66.04166667,GBIF, 
Ldig,-22.95833333,64.04166667,GBIF, 
Ldig,-22.95833333,65.04166667,GBIF, 
Ldig,-21.95833333,65.04166667,GBIF, 
Ldig,-6.958333333,62.04166667,GBIF, 
Ldig,-6.291666667,62.29166667,GBIF, 
Ldig,-6.541666667,62.20833333,GBIF, 
Ldig,-6.541666667,62.375,GBIF, 
Ldig,-6.791666667,62.29166667,GBIF, 
Ldig,-6.708333333,61.875,GBIF, 
Ldig,-7.291666667,62.04166667,GBIF, 
Ldig,-6.958333333,62.29166667,GBIF, 
Ldig,-6.625,62.04166667,GBIF, 
Ldig,18.79166667,69.875,GBIF, 
Ldig,18.95833333,69.70833333,GBIF, 
Ldig,29.54166667,69.625,GBIF, 
Ldig,31.125,70.375,GBIF, 
Ldig,17.95833333,69.625,GBIF, 
Ldig,18.45833333,69.875,GBIF, 
Ldig,-18.04166667,65.79166667,GBIF, 
Ldig,-18.79166667,66.20833333,GBIF, 
Ldig,-69.79166667,62.79166667,Museum, 
Ldig,-68.04166667,68.54166667,Museum, 
Ldig,-106.375,74.95833333,Museum, 
Ldig,-105.9583333,74.95833333,Museum, 
Ldig,-98.375,69.625,Museum, 
Ldig,-84.20833333,75.875,Museum, 
Ldig,-64.375,60.20833333,Arctic Amazing Race, 
Ldig,-63.54166667,59.29166667,Arctic Amazing Race, 
Ldig,-64.04166667,67.54166667,Arctic Amazing Race, 
Ldig,11.125,79.125,Hop et al 2016, 
Ldig,11.625,79.04166667,Hop et al 2016, 
Ldig,12.04166667,78.54166667,Hop et al 2016, 
Ldig,12.29166667,78.45833333,Hop et al 2016, 
Ldig,-69.95833333,59.95833333,Filbee-Dexter et al, 
Ldig,33.375,69.125,Filbee-Dexter et al, 
Ldig,33.79166667,66.20833333,Filbee-Dexter et al, 
