Sp,lon,lat,Source
Slat,-16.708333,66.291667,OBIS
Slat,-151.708333,59.458333,OBIS
Slat,-151.458333,59.541667,OBIS
Slat,-152.791667,58.458333,OBIS
Slat,-147.708333,60.458333,OBIS
Slat,-147.375,60.625,OBIS
Slat,-22.041667,64.375,OBIS
Slat,-94.208333,58.791667,OBIS
Slat,15.541667,76.791667,OBIS
Slat,-154.125,56.958333,OBIS
Slat,-147.375,60.291667,OBIS
Slat,-152.375,57.791667,OBIS
Slat,19.125,74.375,OBIS
Slat,-146.708333,60.958333,OBIS
Slat,-153.875,57.541667,OBIS
Slat,-147.125,60.375,OBIS
Slat,-152.791667,58.375,OBIS
Slat,-152.625,58.541667,OBIS
Slat,-17.208333,66.208333,OBIS
Slat,-93.875,58.791667,OBIS
Slat,-145.291667,70.041667,OBIS
Slat,-151.875,59.375,OBIS
Slat,-14.375,64.708333,OBIS
Slat,-147.541667,70.291667,OBIS
Slat,-152.875,57.291667,OBIS
Slat,-23.041667,64.708333,OBIS
Slat,-153.375,57.125,OBIS
Slat,-17.625,65.958333,OBIS
Slat,-6.791667,62.125,OBIS
Slat,-6.791667,61.541667,OBIS
Slat,-14.041667,64.708333,OBIS
Slat,18.791667,74.458333,OBIS
Slat,-22.875,64.791667,OBIS
Slat,-13.791667,65.208333,OBIS
Slat,-147.791667,70.375,OBIS
Slat,-23.708333,64.708333,OBIS
Slat,-14.208333,64.625,OBIS
Slat,-13.541667,65.291667,OBIS
Slat,20.208333,74.291667,Borum et al
Slat,-18.125,65.791667,GBIF
Slat,-64.041667,67.541667,GBIF
Slat,-64.375,60.208333,GBIF
Slat,-61.291667,56.791667,GBIF
Slat,-63.541667,59.291667,GBIF
Slat,-63.708333,59.458333,GBIF
Slat,-146.625,60.291667,GBIF
Slat,-158.708333,71.208333,GBIF
Slat,-158.375,71.208333,GBIF
Slat,-173.041667,60.541667,GBIF
Slat,-156.458333,71.375,GBIF
Slat,-147.541667,70.375,GBIF
Slat,-145.791667,60.541667,GBIF
Slat,-154.041667,59.291667,GBIF
