Sp,lon,lat,Source
Slat,11.375,58.291667,OBIS
Slat,-5.791667,56.875,OBIS
Slat,11.875,57.375,OBIS
Slat,11.375,58.291667,OBIS
Slat,11.791667,57.458333,OBIS
Slat,11.291667,58.291667,OBIS
Slat,11.375,58.208333,OBIS
Slat,11.375,58.291667,OBIS
Slat,11.375,58.291667,OBIS
Slat,11.375,58.291667,OBIS
Slat,-70.875,41.458333,OBIS
Slat,11.375,58.291667,OBIS
Slat,11.375,58.291667,OBIS
Slat,11.375,58.208333,OBIS
Slat,11.375,58.291667,OBIS
Slat,3.958333,51.541667,OBIS
Slat,11.458333,57.958333,OBIS
Slat,-8.708333,54.291667,OBIS
Slat,-16.708333,66.291667,OBIS
Slat,11.958333,57.375,OBIS
Slat,11.291667,58.291667,OBIS
Slat,-5.958333,56.708333,OBIS
Slat,-5.875,56.708333,OBIS
Slat,11.375,58.208333,OBIS
Slat,11.375,58.291667,OBIS
Slat,-60.958333,45.875,OBIS
Slat,11.375,58.291667,OBIS
Slat,11.375,58.291667,OBIS
Slat,11.291667,58.291667,OBIS
Slat,-151.708333,59.458333,OBIS
Slat,11.958333,57.541667,OBIS
Slat,-5.041667,50.125,OBIS
Slat,11.375,58.291667,OBIS
Slat,11.291667,58.291667,OBIS
Slat,11.375,58.208333,OBIS
Slat,11.375,58.291667,OBIS
Slat,11.291667,58.291667,OBIS
Slat,-151.458333,59.541667,OBIS
Slat,11.375,58.291667,OBIS
Slat,11.375,58.291667,OBIS
Slat,11.375,58.208333,OBIS
Slat,-5.041667,54.958333,OBIS
Slat,11.375,58.291667,OBIS
Slat,11.291667,58.291667,OBIS
Slat,11.375,58.291667,OBIS
Slat,11.625,57.625,OBIS
Slat,-4.458333,48.291667,OBIS
Slat,11.375,58.291667,OBIS
Slat,12.875,56.458333,OBIS
Slat,-152.791667,58.458333,OBIS
Slat,11.375,58.208333,OBIS
Slat,-4.708333,52.875,OBIS
Slat,-147.708333,60.458333,OBIS
Slat,11.208333,58.458333,OBIS
Slat,11.375,58.208333,OBIS
Slat,-66.458333,45.041667,OBIS
Slat,-5.625,55.958333,OBIS
Slat,-5.875,56.625,OBIS
Slat,11.291667,58.291667,OBIS
Slat,12.708333,55.875,OBIS
Slat,11.375,58.208333,OBIS
Slat,-70.541667,41.541667,OBIS
Slat,-147.375,60.625,OBIS
Slat,11.375,58.291667,OBIS
Slat,11.375,58.208333,OBIS
Slat,11.291667,58.291667,OBIS
Slat,11.541667,57.958333,OBIS
Slat,-22.041667,64.375,OBIS
Slat,11.875,57.375,OBIS
Slat,11.375,58.291667,OBIS
Slat,11.375,58.208333,OBIS
Slat,11.375,58.291667,OBIS
Slat,11.375,58.291667,OBIS
Slat,1.625,50.791667,OBIS
Slat,11.375,58.291667,OBIS
Slat,11.375,58.208333,OBIS
Slat,11.375,58.208333,OBIS
Slat,11.291667,58.291667,OBIS
Slat,11.291667,58.291667,OBIS
Slat,11.291667,58.291667,OBIS
Slat,-4.708333,52.875,OBIS
Slat,-5.958333,56.708333,OBIS
Slat,11.375,58.291667,OBIS
Slat,-1.458333,60.291667,OBIS
Slat,11.375,58.291667,OBIS
Slat,11.375,58.208333,OBIS
Slat,12.041667,57.291667,OBIS
Slat,11.291667,58.291667,OBIS
Slat,-4.625,53.458333,OBIS
Slat,11.291667,58.291667,OBIS
Slat,-1.708333,60.291667,OBIS
Slat,-5.625,57.791667,OBIS
Slat,-94.208333,58.791667,OBIS
Slat,-151.458333,59.541667,OBIS
Slat,11.375,58.291667,OBIS
Slat,-5.875,56.791667,OBIS
Slat,12.708333,55.958333,OBIS
Slat,11.291667,58.291667,OBIS
Slat,11.375,58.291667,OBIS
Slat,15.541667,76.791667,OBIS
Slat,-2.541667,47.291667,OBIS
Slat,11.625,57.625,OBIS
Slat,11.625,57.625,OBIS
Slat,11.291667,58.291667,OBIS
Slat,12.125,57.208333,OBIS
Slat,11.375,58.208333,OBIS
Slat,-152.875,58.375,OBIS
Slat,11.791667,57.458333,OBIS
Slat,12.708333,56.291667,OBIS
Slat,-147.708333,60.458333,OBIS
Slat,-9.541667,53.208333,OBIS
Slat,11.375,58.291667,OBIS
Slat,11.375,58.291667,OBIS
Slat,11.875,57.375,OBIS
Slat,11.291667,58.291667,OBIS
Slat,-154.125,56.958333,OBIS
Slat,11.875,57.375,OBIS
Slat,11.708333,57.958333,OBIS
Slat,-5.791667,56.875,OBIS
Slat,11.375,58.291667,OBIS
Slat,11.875,57.375,OBIS
Slat,11.291667,58.291667,OBIS
Slat,-5.958333,56.791667,OBIS
Slat,-5.041667,55.541667,OBIS
Slat,11.375,58.291667,OBIS
Slat,-4.875,54.625,OBIS
Slat,-3.458333,54.291667,OBIS
Slat,11.541667,58.041667,OBIS
Slat,11.291667,58.291667,OBIS
Slat,-147.708333,60.458333,OBIS
Slat,11.375,58.208333,OBIS
Slat,11.375,58.291667,OBIS
Slat,11.625,57.625,OBIS
Slat,11.375,58.208333,OBIS
Slat,-5.958333,56.708333,OBIS
Slat,11.291667,58.291667,OBIS
Slat,-70.875,42.541667,OBIS
Slat,-5.791667,56.875,OBIS
Slat,11.375,58.291667,OBIS
Slat,11.625,57.791667,OBIS
Slat,11.375,58.291667,OBIS
Slat,11.375,58.208333,OBIS
Slat,11.958333,57.375,OBIS
Slat,11.375,58.291667,OBIS
Slat,11.875,57.375,OBIS
Slat,11.375,58.291667,OBIS
Slat,-5.125,57.875,OBIS
Slat,-5.958333,56.708333,OBIS
Slat,-2.958333,59.125,OBIS
Slat,-5.125,55.541667,OBIS
Slat,-147.375,60.291667,OBIS
Slat,12.041667,57.208333,OBIS
Slat,11.375,58.291667,OBIS
Slat,12.041667,57.291667,OBIS
Slat,11.375,58.208333,OBIS
Slat,-4.375,52.625,OBIS
Slat,11.375,58.291667,OBIS
Slat,11.291667,58.291667,OBIS
Slat,-61.708333,47.291667,OBIS
Slat,11.791667,57.458333,OBIS
Slat,-5.041667,50.125,OBIS
Slat,11.375,58.291667,OBIS
Slat,-5.875,56.625,OBIS
Slat,-5.125,58.375,OBIS
Slat,-5.625,57.875,OBIS
Slat,11.375,58.291667,OBIS
Slat,-151.541667,59.541667,OBIS
Slat,11.791667,57.541667,OBIS
Slat,-5.958333,56.708333,OBIS
Slat,-22.041667,64.458333,OBIS
Slat,11.291667,58.291667,OBIS
Slat,11.541667,57.958333,OBIS
Slat,-60.958333,45.291667,OBIS
Slat,-5.708333,57.291667,OBIS
Slat,-151.458333,59.541667,OBIS
Slat,11.291667,58.291667,OBIS
Slat,-151.541667,59.541667,OBIS
Slat,11.375,58.291667,OBIS
Slat,11.875,57.458333,OBIS
Slat,-5.875,56.791667,OBIS
Slat,11.375,58.208333,OBIS
Slat,11.875,57.458333,OBIS
Slat,11.291667,58.291667,OBIS
Slat,12.541667,56.291667,OBIS
Slat,11.375,58.208333,OBIS
Slat,-5.041667,54.958333,OBIS
Slat,-8.875,41.625,OBIS
Slat,11.375,58.291667,OBIS
Slat,11.375,58.291667,OBIS
Slat,-5.291667,56.541667,OBIS
Slat,-6.458333,57.041667,OBIS
Slat,11.375,58.291667,OBIS
Slat,11.375,58.291667,OBIS
Slat,-123.458333,48.791667,OBIS
Slat,11.625,57.791667,OBIS
Slat,-3.458333,54.291667,OBIS
Slat,12.708333,56.458333,OBIS
Slat,11.375,58.291667,OBIS
Slat,12.875,55.791667,OBIS
Slat,11.375,58.208333,OBIS
Slat,11.375,58.208333,OBIS
Slat,11.375,58.208333,OBIS
Slat,11.375,58.208333,OBIS
Slat,-5.958333,56.708333,OBIS
Slat,11.291667,58.291667,OBIS
Slat,-5.875,56.625,OBIS
Slat,11.375,58.208333,OBIS
Slat,11.875,57.375,OBIS
Slat,11.791667,57.541667,OBIS
Slat,11.375,58.208333,OBIS
Slat,-16.708333,66.291667,OBIS
Slat,11.291667,58.291667,OBIS
Slat,11.958333,57.541667,OBIS
Slat,11.291667,58.291667,OBIS
Slat,-5.041667,50.125,OBIS
Slat,11.625,57.791667,OBIS
Slat,12.875,56.541667,OBIS
Slat,11.708333,57.625,OBIS
Slat,11.875,57.375,OBIS
Slat,11.708333,57.625,OBIS
Slat,11.875,57.375,OBIS
Slat,-54.875,47.625,OBIS
Slat,11.375,58.291667,OBIS
Slat,-4.708333,48.541667,OBIS
Slat,11.375,58.291667,OBIS
Slat,-124.458333,49.375,OBIS
Slat,11.375,58.208333,OBIS
Slat,11.375,58.208333,OBIS
Slat,-147.375,60.291667,OBIS
Slat,11.291667,58.291667,OBIS
Slat,11.291667,58.291667,OBIS
Slat,-4.791667,51.625,OBIS
Slat,11.375,58.291667,OBIS
Slat,-5.958333,56.791667,OBIS
Slat,11.375,58.291667,OBIS
Slat,-4.791667,51.625,OBIS
Slat,11.375,58.291667,OBIS
Slat,-61.458333,47.791667,OBIS
Slat,-154.125,56.958333,OBIS
Slat,11.708333,57.958333,OBIS
Slat,-69.958333,41.791667,OBIS
Slat,-4.708333,52.958333,OBIS
Slat,11.291667,58.291667,OBIS
Slat,-5.875,56.625,OBIS
Slat,11.375,58.291667,OBIS
Slat,11.375,58.291667,OBIS
Slat,11.375,58.208333,OBIS
Slat,11.625,57.625,OBIS
Slat,11.375,58.208333,OBIS
Slat,11.625,57.625,OBIS
Slat,11.375,58.291667,OBIS
Slat,12.958333,55.708333,OBIS
Slat,11.375,58.291667,OBIS
Slat,-69.375,48.375,OBIS
Slat,11.375,58.208333,OBIS
Slat,11.375,58.208333,OBIS
Slat,11.375,58.208333,OBIS
Slat,11.375,58.291667,OBIS
Slat,-66.375,44.291667,OBIS
Slat,-5.625,57.291667,OBIS
Slat,11.375,58.291667,OBIS
Slat,11.875,57.375,OBIS
Slat,11.375,58.291667,OBIS
Slat,-0.375,54.291667,OBIS
Slat,-5.875,56.791667,OBIS
Slat,-152.375,57.791667,OBIS
Slat,11.875,58.125,OBIS
Slat,11.875,57.375,OBIS
Slat,19.125,74.375,OBIS
Slat,-5.125,58.375,OBIS
Slat,-5.041667,50.125,OBIS
Slat,11.375,58.208333,OBIS
Slat,-70.541667,41.791667,OBIS
Slat,12.625,56.458333,OBIS
Slat,11.291667,58.291667,OBIS
Slat,11.375,58.291667,OBIS
Slat,11.291667,58.291667,OBIS
Slat,11.708333,57.541667,OBIS
Slat,11.458333,58.291667,OBIS
Slat,11.541667,57.875,OBIS
Slat,-4.791667,52.875,OBIS
Slat,-4.708333,54.041667,OBIS
Slat,11.375,58.208333,OBIS
